Name,Iata Code,Latitude,Longitude
Tripoli Int'l, TIP, 32.6692, 13.1443
Gander Int'l, YQX, 48.9466, -54.5756
Doha Int'l, DOH, 25.2682, 51.5585
Albuquerque Int'l, ABQ, 35.0492, -106.6167
V.C. Bird Int'l, ANU, 17.1404, -61.7924
Faleolo, APW, -13.8325, -171.9973
Asyut, ATZ, 27.0508, 31.0162
Bahrain Int'l, BAH, 26.2697, 50.6260
Bradley Int'l, BDL, 41.9303, -72.6854
Grantley Adams Int'l, BGI, 13.0797, -59.4874
Yundum Int'l, BJL, 13.3439, -16.6523
Bujumbura Int'l, BJM, -3.3220, 29.3210
Chileka Int'l, BLZ, -15.6814, 34.9719
Broome Int'l, BME, -17.9526, 122.2339
Bandar Abbass Int'l, BND, 27.2103, 56.3689
Basrah Int'l, BSR, 30.5528, 47.6684
Ciudad Juarez Int'l, CJS, 31.6358, -106.4358
Katunayake Int'l, CMB, 7.1781, 79.8853
Cairns Int'l, CNS, -16.8767, 145.7536
Chiang Mai Int'l, CNX, 18.7688, 98.9681
City of Colorado Springs, COS, 38.7974, -104.7009
Ign. Alberto Ongay Int'l, CPE, 19.8142, -90.5036
Changsha Huanghua Int'l, CSX, 28.1899, 113.2141
Greater Cincinnati Int'l, CVG, 39.0554, -84.6562
Da Nang, DAD, 16.0531, 108.2027
Dallas Love Field, DAL, 32.8444, -96.8499
Damascus Int'l, DAM, 33.4114, 36.5129
Enrique Malek Int'l, DAV, 8.3913, -82.4318
Aba Tenna D. Yilma Int'l, DIR, 9.6127, 41.8578
Bali Int'l, DPS, -8.7448, 115.1623
Des Moines Int'l, DSM, 41.5328, -93.6485
Entebbe Int'l, EBB, 0.0449, 32.4428
Kisangani Bangoka Int'l, FKI, 0.4922, 25.3303
Fuzhou Changle Int'l, FOC, 25.9318, 119.6680
Lokpriya G. Bordoloi Int'l, GAU, 26.1052, 91.5882
Gdansk Lech Walesa, GDN, 54.3807, 18.4684
Point Salines Int'l, GND, 12.0073, -61.7859
Nizhny Novgorod Int'l, GOJ, 56.2186, 43.7896
Gen. José M. Yáñez Int'l, GYM, 27.9695, -110.9217
Hohhot Baita Int'l, HET, 40.8541, 111.8147
Helena Reg., HLN, 46.6102, -111.9899
Gen. Ignacio P. Garcia Int'l, HMO, 29.0901, -111.0519
Dulles Int'l, IAD, 38.9528, -77.4478
Hilo Int'l, ITO, 19.7148, -155.0396
Jackson Int'l, JAN, 32.3101, -90.0751
Jacksonville Int'l, JAX, 30.4914, -81.6836
Kuching Int'l, KCH, 1.4872, 110.3418
Kigali Int'l, KGL, -1.9637, 30.1349
Kraków-Balice, KRK, 50.0723, 19.8010
Kurumoch, KUF, 53.5084, 50.1473
Guilin Liangjiang Int'l, KWL, 25.2176, 110.0469
Laoag Int'l, LAO, 18.1824, 120.5339
LaGuardia, LGA, 40.7746, -73.8720
London Gatwick, LGW, 51.1558, -0.1630
Ljubljana, LJU, 46.2305, 14.4548
Amausi Int'l, LKO, 26.7639, 80.8842
La Plata, LPG, -34.9655, -57.8954
Gen. Sevando Canales, MAM, 25.7708, -97.5308
Manchester Int'l, MAN, 53.3625, -2.2734
Kansas City Int'l, MCI, 39.2979, -94.7159
Seeb Int'l, MCT, 23.5886, 58.2905
Habib Bourguiba Int'l, MIR, 35.7607, 10.7534
Marseille Provence Airport, MRS, 43.4411, 5.2214
Quetzalcoatl Int'l, NLD, 27.4497, -99.5680
Nanning Wuwu Int'l, NNG, 22.6120, 108.1680
Xoxocotlán Int'l, OAX, 17.0006, -96.7218
Kahului, OGG, 20.8933, -156.4374
Will Rogers, OKC, 35.3953, -97.5961
Norfolk Int'l, ORF, 36.8982, -76.2044
Palm Beach Int'l, PBI, 26.6884, -80.0902
Pengel Int'l, PBM, 5.4560, -55.1999
Bolshesavino, PEE, 57.9198, 56.0196
Penang Int'l, PEN, 5.2927, 100.2658
Port Harcourt Int'l, PHC, 5.0070, 6.9499
Port Hedland Int'l, PHE, -20.3781, 118.6318
Pierre Regional, PIR, 44.3802, -100.2926
Greater Pittsburgh Int'l, PIT, 40.4961, -80.2561
Pago Pago Int'l, PPG, -14.3291, -170.7133
Birmingham Int'l, BHX, 52.4529, -1.7337
Roberts Int'l, ROB, 6.2418, -10.3531
Raipur, RPR, 21.1860, 81.7404
El Salvador Int'l, SAL, 13.4447, -89.0572
San Diego Int'l, SAN, 32.7323, -117.1975
San Antonio Int'l, SAT, 29.5266, -98.4720
Savannah Int'l, SAV, 32.1356, -81.2100
Antonio Maceo, SCU, 19.9724, -75.8399
Ponciano Arriaga Int'l, SLP, 22.2557, -100.9365
Sacramento Int'l, SMF, 38.6927, -121.5879
Cibao Int'l, STI, 19.4659, -70.6942
Koltsovo, SVX, 56.7322, 60.8058
Syracuse Hancock Int'l, SYR, 43.1318, -76.1131
Tabriz, TBZ, 38.1311, 46.2447
Torreon Int'l, TRC, 25.5632, -103.3988
Tulsa Int'l, TUL, 36.1901, -95.8899
Mcghee Tyson, TYS, 35.8057, -83.9899
Ufa Int'l, UFA, 54.5651, 55.8841
Hewanorra Int'l, UVF, 13.7365, -60.9500
Windhoek Hosea Kutako Int'l, WDH, -22.4870, 17.4632
Sault Ste Marie, YAM, 46.4854, -84.5006
Dawson Cr., YDQ, 55.7394, -120.1856
Edmonton Int'l, YEG, 53.3072, -113.5845
Halifax Int'l, YHZ, 44.8865, -63.5150
Kamloops, YKA, 50.7052, -120.4417
